order_id,order_time,platform,actual_amount,original_amount,delivery_fee,platform_fee,food_cost,dish_names,rating,review_text,delivery_duration,refund_flag
O100001,2026-07-01 11:32:00,美团,28.50,35.00,5.00,6.30,9.98,宫保鸡丁|米饭,5,"出餐很快味道好",32,0
O100002,2026-07-01 12:15:00,饿了么,45.00,52.00,4.00,9.90,15.75,红烧肉|青菜|米饭,4,"分量足",28,0
O100003,2026-07-01 18:45:00,美团,18.00,22.00,5.00,3.96,6.30,炒饭,2,"等了50分钟",52,0
O100004,2026-07-02 12:00:00,美团,62.00,68.00,5.00,13.64,21.70,水煮鱼|米饭x2,5,"很好吃",30,0
O100005,2026-07-02 19:30:00,饿了么,35.50,40.00,4.00,7.81,12.43,麻婆豆腐|米饭,4,"微辣刚好",35,0
O100006,2026-07-03 11:45:00,美团,22.00,25.00,5.00,4.84,7.70,青椒肉丝|米饭,3,"一般",40,0
O100007,2026-07-03 12:30:00,饿了么,88.00,95.00,4.00,19.36,30.80,烤鱼|配菜,5,"强烈推荐",25,0
O100008,2026-07-03 20:00:00,美团,15.00,18.00,5.00,3.30,5.25,蛋炒饭,1,"太少了吧",45,1
O100009,2026-07-04 12:10:00,美团,33.00,38.00,5.00,7.26,11.55,回锅肉|米饭,4,"正宗川味",33,0
O100010,2026-07-04 19:15:00,饿了么,52.00,60.00,4.00,11.44,18.20,酸菜鱼|米饭x2,5,"鱼肉很嫩",28,0
